t,px,py,pz,rx,ry,yaw_deg,pitch_deg,lap
0.0020,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,-0.000,0
0.0520,0.00074,0.00004,0.00007,0.00750,0.00000,-0.011,-0.009,0
0.1020,0.00260,0.00011,0.00016,0.01500,0.00000,-0.026,-0.012,0
0.1520,0.00541,0.00017,0.00024,0.02250,0.00000,-0.032,-0.002,0
0.2020,0.00908,0.00022,0.00030,0.03000,0.00000,-0.035,0.008,0
0.2520,0.01352,0.00025,0.00035,0.03750,0.00000,-0.037,0.015,0
0.3020,0.01867,0.00028,0.00038,0.04500,0.00000,-0.039,0.022,0
0.3520,0.02443,0.00030,0.00039,0.05250,0.00000,-0.039,0.027,0
0.4020,0.03075,0.00032,0.00039,0.06000,0.00000,-0.039,0.031,0
0.4520,0.03755,0.00033,0.00037,0.06750,0.00000,-0.038,0.034,0
0.5040,0.04506,0.00033,0.00035,0.07530,0.00000,-0.037,0.037,0
0.5540,0.05266,0.00033,0.00031,0.08280,0.00000,-0.035,0.039,0
0.6040,0.06056,0.00032,0.00027,0.09030,0.00000,-0.033,0.041,0
0.6540,0.06872,0.00031,0.00022,0.09780,0.00000,-0.032,0.043,0
0.7040,0.07709,0.00030,0.00016,0.10530,0.00000,-0.030,0.044,0
0.7540,0.08563,0.00028,0.00010,0.11280,0.00000,-0.028,0.045,0
0.8040,0.09431,0.00027,0.00003,0.12030,0.00000,-0.026,0.045,0
0.8540,0.10309,0.00025,-0.00004,0.12780,0.00000,-0.025,0.046,0
0.9040,0.11195,0.00023,-0.00011,0.13530,0.00000,-0.023,0.046,0
0.9540,0.12086,0.00021,-0.00019,0.14280,0.00000,-0.021,0.046,0
1.0060,0.13015,0.00018,-0.00027,0.15060,0.00000,-0.020,0.046,0
1.0560,0.13909,0.00016,-0.00035,0.15810,0.00000,-0.018,0.046,0
1.1060,0.14802,0.00014,-0.00043,0.16560,0.00000,-0.017,0.046,0
1.1560,0.15692,0.00011,-0.00051,0.17310,0.00000,-0.016,0.046,0
1.2060,0.16580,0.00009,-0.00059,0.18060,0.00000,-0.015,0.045,0
1.2560,0.17463,0.00007,-0.00067,0.18810,0.00000,-0.014,0.045,0
1.3060,0.18341,0.00004,-0.00074,0.19560,0.00000,-0.013,0.045,0
1.3560,0.19213,0.00002,-0.00082,0.20310,0.00000,-0.013,0.044,0
1.4060,0.20079,-0.00000,-0.00090,0.21060,0.00000,-0.012,0.044,0
1.4560,0.20939,-0.00002,-0.00097,0.21810,0.00000,-0.012,0.043,0
1.5060,0.21791,-0.00004,-0.00104,0.22560,0.00000,-0.011,0.043,0
1.5560,0.22638,-0.00006,-0.00111,0.23310,0.00000,-0.011,0.042,0
1.6060,0.23477,-0.00008,-0.00118,0.24060,0.00000,-0.010,0.042,0
1.6560,0.24310,-0.00010,-0.00124,0.24810,0.00000,-0.010,0.041,0
1.7060,0.25136,-0.00011,-0.00131,0.25560,0.00000,-0.010,0.041,0
1.7560,0.25955,-0.00013,-0.00137,0.26310,0.00000,-0.010,0.041,0
1.8060,0.26769,-0.00014,-0.00142,0.27060,0.00000,-0.010,0.040,0
1.8560,0.27576,-0.00016,-0.00148,0.27810,0.00000,-0.010,0.040,0
1.9060,0.28378,-0.00017,-0.00153,0.28560,0.00000,-0.010,0.039,0
1.9560,0.29174,-0.00018,-0.00158,0.29310,0.00000,-0.010,0.039,0
